SCUBA			ra		dec
G001.36+20.96_850.fits	16 34 29.951	-15 47 12.665
G005.93-01.00_850.fits	18 2 55.703	-24 19 48.037
G006.01+36.74_850.fits	15 54 8.163	-2 52 35.496
G010.21+02.40_850.fits	17 59 19.479	-18 55 32.700
G014.14-00.55_850.fits	18 18 12.055	-16 55 16.957
G014.15-00.55_850.fits	18 18 12.553	-16 54 40.859
G014.22-00.19_850.fits	18 17 0.872	-16 40 29.967
G014.72-00.19_850.fits	18 17 59.847	-16 14 11.037
G014.73-00.19_850.fits	18 18 0.819	-16 13 51.071
G016.28-00.45_850.fits	18 22 0.411	-14 59 23.850
G016.37-00.61_850.fits	18 22 46.673	-14 59 10.549
G016.43-00.62_850.fits	18 22 56.411	-14 56 12.351
G016.97+00.28_850.fits	18 20 42.622	-14 2 1.078
G017.23-01.47_850.fits	18 27 33.538	-14 37 30.259
G017.38+02.26_850.fits	18 14 19.191	-12 43 50.711
G023.35-00.26_850.fits	18 34 45.537	-8 38 18.739
G023.68+00.58_850.fits	18 32 22.659	-7 57 27.448
G023.69+00.58_850.fits	18 32 24.170	-7 56 49.453
G024.04+00.27_850.fits	18 34 9.879	-7 46 53.852
G026.54+00.72_850.fits	18 37 10.102	-5 21 22.284
G033.73-00.01_850.fits	18 52 56.664	+0 42 19.969
G034.74-01.39_850.fits	18 59 41.331	+0 58 34.566
G035.38-01.77_850.fits	19 2 11.354	+1 22 17.762
G035.50-00.31_850.fits	18 57 14.578	+2 8 46.655
G037.93+02.18_850.fits	18 52 46.738	+5 26 15.119
G039.74+01.98_850.fits	18 56 48.006	+6 57 44.196
G057.12+03.63_850.fits	19 23 58.152	+23 7 51.001
G069.81-01.67_850.fits	20 13 34.414	+31 21 54.388
G070.40-01.40_850.fits	20 14 3.026	+32 0 55.778
G074.13+00.11_850.fits	20 18 0.979	+35 57 18.402
G082.40-01.84_850.fits	20 51 25.863	+41 24 21.475
G082.42-01.84_850.fits	20 51 29.663	+41 25 29.675
G087.07-04.20_850.fits	21 17 47.194	+43 18 36.614
G089.66-06.62_850.fits	21 37 15.047	+43 21 27.382
G091.88+04.17_850.fits	21 0 30.140	+52 31 18.032
G092.04+03.92_850.fits	21 2 27.936	+52 28 30.845
G092.28+03.79_850.fits	21 4 8.005	+52 34 6.774
G093.51-04.31_850.fits	21 44 56.654	+47 37 26.535
G105.44+09.88_850.fits	21 43 15.843	+66 7 49.862
G107.18+05.44_850.fits	22 21 30.197	+63 37 31.941
G107.26+05.71_850.fits	22 20 49.553	+63 54 10.571
G109.70+02.52_850.fits	22 53 29.862	+62 19 33.037
G109.81+02.72_850.fits	22 53 33.900	+62 32 45.725
G139.14-03.23_850.fits	2 50 27.971	+55 50 57.937
G159.23-20.09_850.fits	3 33 27.056	+31 7 38.954
G162.46-08.69_850.fits	4 21 33.193	+37 34 1.542
G171.53-14.91_850.fits	4 28 43.042	+26 49 56.493
G172.89+02.28_850.fits	5 36 56.344	+36 10 37.069
G173.15+02.40_850.fits	5 38 7.999	+36 1 8.385
G178.28-00.60_850.fits	5 39 8.184	+30 4 52.547
G195.73-02.28_850.fits	6 11 0.260	+14 10 16.667
G202.31+02.53_850.fits	6 41 1.186	+10 36 8.610
G215.87-17.50_850.fits	5 53 39.862	-10 24 3.859
