SCUBA			PSW(250 um)				RA		DEC
G070.40-01.40_850.fits	G070.07-01.60_PSW_L2.5_crop.fits	303.512608333	32.0154938889
G109.70+02.52_850.fits	NA					343.374425	62.3258436111
G016.28-00.45_850.fits	NA					275.5017125	-14.9899583333
G010.21+02.40_850.fits	G010.20+02.39_PSW_L2.0_crop.fits	269.8311625	-18.92575
G172.89+02.28_850.fits	NA					84.2347666667	36.1769636111
G014.72-00.19_850.fits	NA					274.4993625	-16.2363991667
G014.15-00.55_850.fits	G013.90-00.51_PSW_L2.0_crop.fits	274.552304167	-16.9113497222
G105.44+09.88_850.fits	G105.60+10.31_PSW_L2.0_crop.fits	325.8160125	66.1305172222
G001.36+20.96_850.fits	NA					248.624795833	-15.7868513889
G014.14-00.55_850.fits	NA					274.550229167	-16.9213769444
G107.18+05.44_850.fits	NA					335.375820833	63.6255391667
G034.74-01.39_850.fits	NA					284.9222125	0.976268333333
G082.40-01.84_850.fits	G082.75-01.98_PSW_L2.0_crop.fits	312.8577625	41.4059652778
G109.81+02.72_850.fits	G109.79+02.70_PSW_L2.0_crop.fits	343.39125	62.5460347222
G069.81-01.67_850.fits	G070.07-01.60_PSW_L2.5_crop_2.fits	303.393391667	31.3651077778
G014.73-00.19_850.fits	NA					274.5034125	-16.2308530556
G082.42-01.84_850.fits	NA					312.873595833	41.4249097222
G074.13+00.11_850.fits	NA					304.504079167	35.9551116667
G057.12+03.63_850.fits	NA					290.9923	23.1308336111
G159.23-20.09_850.fits	G158.55-20.92_PSW_L2.5_crop.fits	53.3627333333	31.1274872222
G024.04+00.27_850.fits	NA					278.5411625	-7.78162555556
G171.53-14.91_850.fits	NA					67.1793416667	26.8323591667
G023.35-00.26_850.fits	NA					278.6897375	-8.63853861111
G006.01+36.74_850.fits	G006.04+36.73_PSW_L2.0_crop.fits	238.5340125	-2.87652666667
G005.93-01.00_850.fits	NA					270.732095833	-24.3300102778
G023.68+00.58_850.fits	NA					278.0944125	-7.95762444444
G162.46-08.69_850.fits	NA					65.3883041667	37.567095
G039.74+01.98_850.fits	G039.60+01.86_PSW_L2.0_crop.fits	284.200025	6.96227666667
G087.07-04.20_850.fits	G087.08-04.08_PSW_L2.0_crop.fits	319.446641667	43.3101705556
G091.88+04.17_850.fits	G092.12+03.88_PSW_L2.0_crop_3.fits	315.125583333	52.5216755556
G017.38+02.26_850.fits	NA					273.5799625	-12.7307530556
G173.15+02.40_850.fits	NA					84.5333291667	36.0189958333
G092.04+03.92_850.fits	G092.12+03.88_PSW_L2.0_crop_2.fits	315.6164	52.4752347222
G016.37-00.61_850.fits	G017.69-00.15_PSW_L2.5_crop.fits	275.694470833	-14.9862636111
G092.28+03.79_850.fits	G092.12+03.88_PSW_L2.0_crop.fits	316.033354167	52.5685483333
G037.93+02.18_850.fits	G037.92+02.18_PSW_L2.0_crop.fits	283.194741667	5.43753305556
G026.54+00.72_850.fits	NA					279.292091667	-5.35619
G035.38-01.77_850.fits	G035.19-01.75_PSW_L2.0_crop.fits	285.547308333	1.37160055556
G016.97+00.28_850.fits	G017.69-00.15_PSW_L2.5_crop_2.fits	275.177591667	-14.0336327778
G014.22-00.19_850.fits	NA					274.253633333	-16.6749908333
G195.73-02.28_850.fits	G195.73-02.29_PSW_L2.0_crop.fits	92.7510833333	14.1712963889
G017.23-01.47_850.fits	G017.69-00.15_PSW_L2.5_crop_3.fits	276.889741667	-14.6250719444
G107.26+05.71_850.fits	NA					335.206470833	63.9029363889
G089.66-06.62_850.fits	G089.76-06.83_PSW_L2.0_crop.fits	324.312695833	43.3576061111
G215.87-17.50_850.fits	NA					88.4160916667	-10.4010719444
G139.14-03.23_850.fits	G139.48-03.27_PSW_L2.0_crop.fits	42.6165458333	55.8494269444
G023.69+00.58_850.fits	NA					278.100708333	-7.94707027778
G035.50-00.31_850.fits	NA					284.310741667	2.14629305556
G202.31+02.53_850.fits	G202.16+02.64_PSW_L2.0_crop.fits	100.254941667	10.6023916667
G178.28-00.60_850.fits	G178.31+00.28_PSW_L2.5_crop.fits	84.7841	30.0812630556
G033.73-00.01_850.fits	NA					283.2361	0.705546944444
G093.51-04.31_850.fits	G094.11-04.86_PSW_L2.5_crop.fits	326.236058333	47.6240375
G016.43-00.62_850.fits	NA					275.735045833	-14.9367641667
