# From SAMPLING Data Release 1, Wang, Ke
# l, b, ra, dec, object, line, file name
70.4693 -1.55555 20h14m50s +31d59m00s PC71 12CO21 PC71_12CO21.fits
70.4895 -1.54632 20h14m51s +32d00m19s PC70 12CO21 PC70_12CO21.fits
70.5242 -1.56986 20h15m02s +32d01m16s PC69 12CO21 PC69_12CO21.fits
77.8171 -1.32925 20h34m37.035s +38d07m11.33s CX1 12CO21 CX1_12CO21.fits
77.8254 -1.28703 20h34m28.206s +38d09m05.91s CX8 12CO21 CX8_12CO21.fits
77.8579 -1.37585 20h34m55.865s +38d07m28.5s CX5 12CO21 CX5_12CO21.fits
77.861 -1.23157 20h34m21.131s +38d12m48.08s CX9 12CO21 CX9_12CO21.fits
77.8976 -1.17901 20h34m14.929s +38d16m26.76s CX3 12CO21 CX3_12CO21.fits
77.9205 -1.35327 20h35m01.773s +38d11m17.51s CX7 12CO21 CX7_12CO21.fits
77.9498 -1.14251 20h34m15.503s +38d20m15.89s CX4 12CO21 CX4_12CO21.fits
77.9665 -1.30691 20h34m58.851s +38d15m10.15s CX6 12CO21 CX6_12CO21.fits
77.9942 -1.18758 20h34m34.684s +38d20m47.15s CX10 12CO21 CX10_12CO21.fits
78.0035 -1.25165 20h34m52.088s +38d18m55.9s CX2 12CO21 CX2_12CO21.fits
89.3027 4.004 20h50m42s +50d27m00s PC78 12CO21 PC78_12CO21.fits
89.9354 -1.96517 21h20m08s +46d55m00s PC86 12CO21 PC86_12CO21.fits
93.1313 9.49525 20h37m05s +56d49m05s PC94 12CO21 PC94_12CO21.fits
93.152 9.59746 20h36m34s +56d53m41s PC90 12CO21 PC90_12CO21.fits
93.2334 9.50667 20h37m27s +56d54m22s PC93 12CO21 PC93_12CO21.fits
98.8644 13.9998 20h33m24.366s +63d59m58.42s PC126 12CO21 PC126_12CO21.fits
98.9008 13.9915 20h33m39s +64d01m27s PC126_n 12CO21 PC126_n_12CO21.fits
105.374 9.8444 21h43m01.727s +66d03m47.6s SC18 12CO21 SC18_12CO21.fits
105.415 9.87943 21h43m06.031s +66d06m58.9s SC19 12CO21 SC19_12CO21.fits
105.464 10.4102 21h39m56s +66d32m39s PC147 12CO21 PC147_12CO21.fits
105.543 10.3677 21h40m47.983s +66d33m52.84s SC17 12CO21 SC17_12CO21.fits
105.579 10.3674 21h41m04s +66d35m17s PC146 12CO21 PC146_12CO21.fits
106.852 5.32236 22h19m39.611s +63d21m06.32s SC22 12CO21 SC22_12CO21.fits
107.318 -0.316015 22h46m33.367s +58d43m02.96s SC26 12CO21 SC26_12CO21.fits
108.871 -0.794289 22h58m57.783s +58d58m19.98s SC1 12CO21 SC1_12CO21.fits
108.973 -0.818254 22h59m45.578s +58d59m35.05s SC2 12CO21 SC2_12CO21.fits
110.726 19.4173 20h59m19s +76d24m19s PC162 12CO21 PC162_12CO21.fits
111.675 20.2199 20h57m15s +77d36m00s PC169 12CO21 PC169_12CO21.fits
113.412 17.0103 21h59m29s +76d35m17s PC177 12CO21 PC177_12CO21.fits
116.078 -2.38509 23h56m40s +59d45m21s PC187 12CO21 PC187_12CO21.fits
121.737 0.238913 00h40m52.745s +63d05m10.21s SC4 12CO21 SC4_12CO21.fits
121.783 0.178381 00h41m18.073s +63d01m39.04s SC5 12CO21 SC5_12CO21.fits
121.9 -0.864943 00h42m38.698s +61d59m21.05s SC6 12CO21 SC6_12CO21.fits
123.676 24.7437 01h54m48s +87d31m24s PC212 12CO21 PC212_12CO21.fits
123.766 24.7763 02h02m55s +87d31m53s PC213 12CO21 PC213_12CO21.fits
125.646 -0.58762 01h14m43s +62d09m41s PC215 12CO21 PC215_12CO21.fits
125.705 -0.550129 01h15m15s +62d11m36s PC214 12CO21 PC214_12CO21.fits
126.563 -0.300602 01h22m48.951s +62d20m58.9s SC10 12CO21 SC10_12CO21.fits
126.586 -0.381611 01h22m55.589s +62d15m59.41s SC11 12CO21 SC11_12CO21.fits
126.624 24.5465 04h23m20s +85d47m32s PC217 12CO21 PC217_12CO21.fits
126.654 -0.643449 01h23m13.84s +61d59m53.85s SC12 12CO21 SC12_12CO21.fits
127.876 2.66526 01h38m36s +65d05m00s PC222 12CO21 PC222_12CO21.fits
128.878 13.6148 02h25m32s +75d23m21s PC224 12CO21 PC224_12CO21.fits
128.88 -0.169885 01h42m38s +62d06m33s PC230 12CO21 PC230_12CO21.fits
128.883 13.7111 02h26m10s +75d28m37s PC225 12CO21 PC225_12CO21.fits
129.258 15.1497 02h41m11s +76d39m15s PC233 12CO21 PC233_12CO21.fits
130.036 13.8419 02h43m12s +75d08m59s PC238 12CO21 PC238_12CO21.fits
130.12 11.0805 02h28m20s +72d35m10s PC236 12CO21 PC236_12CO21.fits
130.379 11.2631 02h32m25s +72d39m30s PC239 12CO21 PC239_12CO21.fits
131.738 9.68212 02h39m58s +70d40m30s PC240 12CO21 PC240_12CO21.fits
132.09 8.7974 02h39m25s +69d43m33s PC241 12CO21 PC241_12CO21.fits
132.097 8.72481 02h39m09s +69d39m24s PC242 12CO21 PC242_12CO21.fits
132.979 0.743621 02h18m24.738s +61d54m24.55s SC8 12CO21 SC8_12CO21.fits
144.821 0.757518 03h40m11s +56d16m57s PC274 12CO21 PC274_12CO21.fits
144.888 0.74514 03h40m31s +56d13m57s PC273 12CO21 PC273_12CO21.fits
144.895 0.796687 03h40m47s +56d16m09s PC272 12CO21 PC272_12CO21.fits
148.05 0.12298 03h55m09s +53d47m05s PC292 12CO21 PC292_12CO21.fits
149.436 3.38203 04h17m17s +55d16m55s PC300 12CO21 PC300_12CO21.fits
149.573 3.43888 04h18m15s +55d13m37s PC301 12CO21 PC301_12CO21.fits
150.216 3.91168 04h23m46s +55d06m31s PC308 12CO21 PC308_12CO21.fits
150.234 3.81319 04h23m22s +55d01m35s PC305 12CO21 PC305_12CO21.fits
150.258 3.8867 04h23m51s +55d03m39s PC307 12CO21 PC307_12CO21.fits
150.349 3.96476 04h24m41s +55d03m02s PC310 12CO21 PC310_12CO21.fits
156.933 -8.51332 04h01m42s +41d28m02s PC335 12CO21 PC335_12CO21.fits
158.199 -20.1577 03h29m40s +31d40m07s PC351 12CO21 PC351_12CO21.fits
158.249 -20.0207 03h30m14s +31d44m57s PC350 12CO21 PC350_12CO21.fits
158.942 -34.1938 02h55m57s +19d49m45s PC357 12CO21 PC357_12CO21.fits
159.02 -8.47055 04h09m54s +40d06m20s PC362 12CO21 PC362_12CO21.fits
159.092 -8.49082 04h10m06s +40d02m30s PC361 12CO21 PC361_12CO21.fits
159.23 -20.1098 03h33m24s +31d06m59s PC365 12CO21 PC365_12CO21.fits
159.249 -34.4801 02h56m10s +19d27m00s PC366 12CO21 PC366_12CO21.fits
159.377 -34.3553 02h56m50s +19d29m40s PC370 12CO21 PC370_12CO21.fits
159.379 -34.4411 02h56m38s +19d25m22s PC371 12CO21 PC371_12CO21.fits
159.416 -34.4095 02h56m49s +19d25m54s PC372 12CO21 PC372_12CO21.fits
159.596 -19.6712 03h35m56s +31d14m53s PC379 12CO21 PC379_12CO21.fits
159.662 -34.3098 02h57m46s +19d23m59s PC381 12CO21 PC381_12CO21.fits
159.669 -19.5976 03h36m24s +31d15m46s PC378 12CO21 PC378_12CO21.fits
159.715 -19.7148 03h36m13s +31d08m39s PC380 12CO21 PC380_12CO21.fits
159.739 -19.634 03h36m32s +31d11m37s PC383 12CO21 PC383_12CO21.fits
160.489 -17.0959 03h46m43s +32d42m17s PC388 12CO21 PC388_12CO21.fits
160.61 -16.7225 03h48m17s +32d54m55s PC390 12CO21 PC390_12CO21.fits
161.329 -9.32484 04h15m19s +37d54m32s PC398 12CO21 PC398_12CO21.fits
163.351 -8.42602 04h25m37s +37d07m00s PC617 12CO21 PC617_12CO21.fits
165.159 -7.55984 04h34m52s +36d23m30s PC417 12CO21 PC417_12CO21.fits
165.649 -9.12067 04h30m47s +34d59m00s PC419 12CO21 PC419_12CO21.fits
165.711 -9.13995 04h30m55s +34d55m30s PC420 12CO21 PC420_12CO21.fits
166.998 -15.3521 04h13m42s +29d43m56s PC421 12CO21 PC421_12CO21.fits
168.053 -16.4071 04h13m30s +28d16m09s PC424 12CO21 PC424_12CO21.fits
168.721 -15.5492 04h18m20s +28d24m04s PC426 12CO21 PC426_12CO21.fits
168.747 -15.5073 04h18m33s +28d24m42s PC427 12CO21 PC427_12CO21.fits
169.119 -1.20097 05h12m00s +37d20m00s PC429 12CO21 PC429_12CO21.fits
169.916 -16.1293 04h19m59s +27d10m00s PC433 12CO21 PC433_12CO21.fits
172.062 -15.2089 04h29m15s +26d15m12s PC454 12CO21 PC454_12CO21.fits
172.864 -14.7381 04h33m06s +25d58m41s PC463 12CO21 PC463_12CO21.fits
172.912 -16.7524 04h26m31s +24d37m10s PC466 12CO21 PC466_12CO21.fits
172.952 -14.7565 04h33m17s +25d54m07s PC464 12CO21 PC464_12CO21.fits
174.077 -15.8498 04h32m44s +24d22m00s PC480 12CO21 PC480_12CO21.fits
174.413 -15.766 04h33m56s +24d10m27s PC481 12CO21 PC481_12CO21.fits
174.783 -15.1973 04h36m51s +24d16m01s PC485 12CO21 PC485_12CO21.fits
174.834 -15.1538 04h37m08s +24d15m27s PC486 12CO21 PC486_12CO21.fits
176.499 -9.83656 05h00m02s +26d17m15s PC496 12CO21 PC496_12CO21.fits
177.611 -20.5609 04h26m35s +18d45m43s PC500 12CO21 PC500_12CO21.fits
177.634 -20.3584 04h27m18s +18d52m29s PC499 12CO21 PC499_12CO21.fits
179.179 -19.6072 04h33m38s +18d13m42s PC503 12CO21 PC503_12CO21.fits
181.975 0.30185 05h51m25s +27d24m00s PC511 12CO21 PC511_12CO21.fits
195.059 -17.0869 05h17m30s +07d18m10s PC546 12CO21 PC546_12CO21.fits
198.608 -9.09348 05h52m24s +08d21m29s PC552 12CO21 PC552_12CO21.fits
199.89 0.938558 06h30m43s +12d01m19s PC554 12CO21 PC554_12CO21.fits
200.338 -10.9868 05h49m06s +05d56m45s PC555 12CO21 PC555_12CO21.fits
201.295 0.449648 06h31m36s +10d33m00s PC556 12CO21 PC556_12CO21.fits
202.306 2.5335 06h41m01.272s +10d36m32.64s SC9 12CO21 SC9_12CO21.fits
202.46 2.48548 06h41m08s +10d27m00s PC615 12CO21 PC615_12CO21.fits
202.557 2.45446 06h41m12s +10d21m00s PC614 12CO21 PC614_12CO21.fits
203.198 -11.2091 05h53m45s +03d22m49s PC573 12CO21 PC573_12CO21.fits
203.764 -8.44339 06h04m34s +04d12m16s PC574 12CO21 PC574_12CO21.fits
204.494 -11.3565 05h55m39s +02d11m30s PC576 12CO21 PC576_12CO21.fits
204.881 -13.8425 05h47m36s +00d41m00s PC577 12CO21 PC577_12CO21.fits
205.308 -5.95848 06h16m15s +04d01m12s PC580 12CO21 PC580_12CO21.fits
207.343 -19.8225 05h30m50s -04d11m30s PC586 12CO21 PC586_12CO21.fits
210.322 -0.0446306 06h46m31s +02d18m07s PC593 12CO21 PC593_12CO21.fits
215.425 -16.3908 05h56m59s -09d32m40s PC596 12CO21 PC596_12CO21.fits
