SCUBA		ra		dec		std (ds9's var)	stddev		radius (deg)
G001.36+20.96	16:34:31.152	-15:48:50.00	0.15064949			0.02
G005.93-01.00	18:02:49.582	-24:16:38.68	0.19788194
G006.01+36.74	15:54:18.054	-2:53:40.00	0.11656427
G010.21+02.40	17:59:25.910	-18:59:11.72	0.15542192
G014.14-00.55	18:17:54.544	-16:54:23.42	0.26311764
G014.15-00.55	18:17:52.159	-16:54:47.26	0.24508355
G014.22-00.19	18:17:13.710	-16:42:44.70	0.27946963
G014.72-00.19	18:17:51.380	-16:10:46.59	0.39416966
G014.73-00.19	18:17:49.900	-16:11:20.06	0.31140659
G016.28-00.45	18:21:46.987	-14:59:03.09	0.30706573
G016.37-00.61	18:22:42.032	-15:02:09.66	0.18329257
G016.43-00.62	18:22:45.475	-14:54:40.40	0.1676439
G016.97+00.28	18:20:28.708	-14:00:58.20	0.19899886
G017.23-01.47	18:27:41.413	-14:39:40.89	0.24303571
G017.38+02.26	18:14:20.986	-12:41:25.52	0.25031832
G023.35-00.26	18:34:29.956	-8:36:04.86	0.79110885	0.033836311
G023.68+00.58	18:32:09.898	-7:57:19.06	0.17249746	0.0462297
G023.69+00.58	18:32:11.021	-7:56:39.35	0.28740144	0.0034919635
G024.04+00.27	18:34:07.914	-7:42:39.05	0.20084225	0.0043468575
G026.54+00.72	18:36:58.728	-5:20:28.95	0.19421498	0.0044607644
G033.73-00.01	18:53:07.298	+0:43:08.74	0.1680223	0.0036241121
G034.74-01.39	18:59:28.130	+0:59:29.37	0.16369772	0.0021038781
G035.38-01.77	19:02:04.676	+1:25:05.49	0.26565952	0.0054328131
G035.50-00.31	18:57:16.849	+2:11:13.16	0.28296773	0.0044346112
G037.93+02.18	18:52:45.125	+5:26:17.41	0.10899341	0.00073867205
G039.74+01.98	18:56:51.329	+6:55:45.07	0.33471768	0.010367993
G057.12+03.63	19:23:46.658	+23:10:22.93	0.1466555	0.0014776834
G069.81-01.67	20:13:39.113	+31:20:13.49	0.23633219	0.0056886471
G070.40-01.40	20:13:58.164	+32:04:02.68	0.17563983	0.0030646789
G074.13+00.11	20:17:53.370	+36:00:29.76	0.19174802	0.0035791043
G082.40-01.84	20:51:36.523	+41:22:45.95	0.15056994	0.0018732089
G082.42-01.84	20:51:32.198	+41:23:36.77	0.21132824	0.0031431514
G087.07-04.20	21:17:46.464	+43:16:25.09	0.11347266	0.0013540796
G089.66-06.62	21:37:24.442	+43:21:00.60	0.12636921	0.0014091685
G091.88+04.17	21:00:48.109	+52:30:42.58	0.1329745	0.0018717712
G092.04+03.92	21:02:40.636	+52:28:19.43	0.159437	0.001988403
G092.28+03.79	21:03:48.201	+52:34:24.30	0.28265369	0.0057110493
G093.51-04.31	21:44:31.510	+47:37:51.17	0.17564735	0.002296382
G105.44+09.88	21:43:44.409	+66:09:07.51	0.12772505	0.0016656852
G107.18+05.44	22:21:03.725	+63:36:18.93	0.16066696	0.00249324
G107.26+05.71	22:20:27.876	+63:53:02.02	0.17014314	0.0016319882
G109.70+02.52	22:52:57.650	+62:19:43.15	0.33502386	0.0051218782
G109.81+02.72	22:53:04.138	+62:34:10.69	0.19331788	0.0042659617
G139.14-03.23	2:49:56.978	+55:51:33.68	0.23645447	0.0040539589
G159.23-20.09	3:33:36.982	+31:08:03.80	0.16377861	0.0025586533
G162.46-08.69	4:21:44.197	+37:37:10.61	0.18019935	0.0026539009
G171.53-14.91	4:28:53.122	+26:50:33.89	0.14581353	0.0022982261
G172.89+02.28	5:36:46.079	+36:07:11.22	0.13061988	0.0021034785
G173.15+02.40	5:37:45.776	+35:59:23.61	0.23853528	0.0041395336
G178.28-00.60	5:38:52.835	+30:06:30.29	0.13873057	0.0022881632
G195.73-02.28	6:11:02.619	+14:11:51.99	0.22486217	0.0031924486
G202.31+02.53	6:40:45.326	+10:35:54.94	0.25853004	0.0060015653
G215.87-17.50	5:53:50.792	-10:27:01.05	0.14551667	0.0023112867
